Date,Price,Kilometers Traveled,Liters
27.02.2022,5.82,269.1,18.0
05.05.2022,7.49,779.6,54.06
01.06.2022,7.29,579.8,40.37
01.07.2022,7.64,1000.0,49.26
24.07.2022,7.22,829.5,48.0
19.09.2022,7.09,781.8,49.08
20.10.2022,8.03,656.5,36.4
03.11.2022,7.91,890.8,51.47
23.10.2022,8.09,653.1,36.4
22.11.2022,7.76,900.7,50.77
20.12.2022,7.65,720.7,48.86
30.12.2022,7.59,258.3,16.33
10.03.2023,7.07,868.9,53.37
14.02.2023,7.44,773.2,45.56
02.03.2023,6.69,919.7,55.6
27.04.2023,6.41,720.9,44.02
20.05.2023,5.99,754.7,44.51
12.06.2023,6.17,525.2,32.59
12.06.2023,6.04,466.5,27.4
21.07.2023,6.24,670.1,41.74
22.07.2023,6.39,70.0,3.8
22.07.2023,5.98,196.8,10.58
24.08.2023,6.32,800.4,50.11
11.09.2023,6.44,511.9,27.4
11.09.2023,6.44,182.6,10.52
29.09.2023,5.99,650.0,35.28
2.10.2023,5.99,425.0,22.93
15.10.2023,5.99,278.7,17.7
19.10.2023,6.07,526.9,31.35
22.10.2023,6.07,652.7,39.88
26.12.2023,6.39,577.3,43.43
18.01.2024,6.39,692.8,46.72
21.02.2024,6.69,815.2,47.66
15.03.2024,6.79,743.3,45.76
05.04.2024,6.69,740.7,45.72
11.05.2024,6.66,773.5,45.02
10.06.2024,6.49,778.3,43.42
04.07.2024,6.49,744.5,39.66
12.07.2024,6.49,393.7,22.41
14.07.2024,6.62,395.0,20.32
27.07.2024,6.32,827.4,48.19
13.08.2024,6.21,870.5,49.4
13.09.2024,6.11,810.6,44.54
25.10.2024,6.34,569.9,35.06
25.10.2024,5.85,536.9,29.01
29.10.2024,6.29,699.3,35.38
